startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
8712.836641,2,5704.0,177.0,18.0,2.0,98.9925245,47.66918925,0.000778,0.0,747.0,92.5,16.0,1.5,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
500.658526,32,58.0,0.0,5.0,0.0,5.579414969,0.09553618300000001,3333.016041,4367.826948,1024.0,0.0,5.09375,0.13039982,32,0,32,32,0,0,0,0,32,0,32,0,32,32,32,0,0,0,0,0
10521.508670000001,6,45313.5,26257.72222,48.33333333,23.29722222,51.63447567,22.02311058,0.0026998,0.0016860870000000002,684.8333332999999,166.425,21.66666667,6.602777777999999,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0
5729.101522,49,43479.63265,44378.39966,49.42857143,36.45880951,84.35990494,45.35899233,91.10489956,616.3755864,722.6530612,455.7719846,24.06122449,8.693171885,49,0,44,49,0,0,0,0,49,0,49,0,44,49,49,0,0,0,0,0
6835.408372,1,463.0,0.0,17.0,0.0,120.35941299999999,0.0,0.0,0.0,1225.0,0.0,17.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
9055.154226999999,3,5792.666667,193.61111110000002,19.33333333,4.222222222,63.17495067,26.65656844,605.072898,605.033375,2871.0,1264.0,18.0,4.166666667,3,0,3,3,0,0,0,1,3,0,3,0,3,2,3,0,0,0,0,0
8541.207316,3,28184.33333,18789.55556,34.0,20.66666667,61.15555433,35.95444022,24.529595,24.499243,623.0,415.3333333,18.33333333,9.555555556,3,0,1,3,0,0,0,0,3,0,3,0,1,3,3,0,0,0,0,0
467.80939400000005,22,58.0,0.0,5.0,0.0,5.639638727,0.143535771,5048.451443999999,7425.191389,1024.0,0.0,5.1363636360000005,0.21468808,22,0,22,22,0,0,0,0,22,0,22,0,22,22,22,0,0,0,0,0
8603.48806,2,262.0,131.0,11.0,4.0,68.0058215,30.13164725,0.466042,0.0,526.0,263.0,11.5,3.75,2,0,1,2,0,0,0,0,2,0,2,0,1,2,2,0,0,0,0,0
12996.73039,1,1326.0,0.0,5.0,0.0,0.8741969999999999,0.0,0.0,0.0,1336.0,0.0,6.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
13023.95527,2,6473.0,139.0,17.0,2.0,35.4895255,15.01563925,0.000807,0.0,589.5,122.25,13.0,1.5,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
475.89989299999996,7,0.0,0.0,0.0,0.0,0.856940714,0.958130147,210.14542969999997,443.9792579,0.0,0.0,1.285714286,0.319387755,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
7329.6247379999995,5,5138.2,163.24,11.6,0.713333333,7.3662768,2.426154607,657.8595275,939.2162811000001,464.6,133.17,10.4,0.903333333,5,0,5,5,0,0,0,0,5,0,5,0,5,5,5,0,0,0,0,0
9012.420529,2,6562.5,1272.25,15.0,2.5,22.939207,8.5312545,51.154236,0.0,937.5,279.75,12.5,1.75,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
318.986319,16,278.5625,236.2374494,9.25,6.501639506,65.50432713,50.7589828,919.2771487,1140.326432,332.8125,298.1659943,10.1875,6.4942175010000005,11,0,8,11,0,0,0,2,13,0,11,0,8,11,13,0,0,0,0,0
43606.7628,1,440.0,0.0,4.0,0.0,2.38111,0.0,0.0,0.0,756.0,0.0,6.0,0.0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
8508.264886,12,38910.5,22897.06854,48.08333333,26.04841871,85.37053183,40.82742439,0.5501636360000001,1.18847023,1172.75,714.7315416,26.16666667,12.15868506,12,0,9,11,0,0,0,1,12,0,12,0,9,11,12,0,0,0,0,0
5838.074593,13,1948.0,1181.3996359999999,21.84615385,2.415203173,209.87258849999998,55.23157856,636.9836832000001,531.3147621999999,1256.230769,103.544317,20.61538462,2.381803026,13,0,13,13,0,0,0,0,13,0,13,0,13,13,13,0,0,0,0,0
5468.28397,2,3726.5,0.25,18.5,0.25,121.362182,0.17948599999999998,5958.004487,0.0,336.5,4.75,18.0,0.0,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
4485.139,2,5275.0,0.0,14.0,0.5,5.477374500000001,0.26818025,0.258981,0.0,350.0,0.0,11.5,0.25,2,0,2,2,0,0,0,2,2,0,2,0,2,1,2,0,0,1,0,0
